Year,TEMP_Means
1970,105.55813437703847
1971,105.8613829093281
1972,106.83770384866277
1973,104.26333985649052
1974,104.8708414872799
1975,104.77461187214615
1976,105.8028310502283
1977,108.5642922374429
1978,109.76173515981732
1979,109.0992824527071
1980,105.09870841487283
1981,103.49851272015654
1982,106.37272015655576
1983,105.09737769080232
1984,102.86333985649061
1985,109.89337247227654
1986,101.95930854533601
1987,101.43128506196997
1988,106.91046314416182
1989,105.72727984344428
1990,102.24499673842135
1991,105.16290932811485
1992,99.27281148075669
1993,106.84630136986301
1994,106.65954337899542
1995,106.22283105022832
1996,105.48517938682319
1997,104.4293803000652
1998,102.99796477495106
1999,103.64369210697977
2000,106.63925636007829
2001,105.31776908023484
2002,101.36767123287675
2003,105.02407045009788
2004,104.85514677103717
2005,104.66846705805612
2006,100.90429223744293
2007,108.44850619699935
2008,106.40078277886505
2009,105.38328767123296
2010,109.0113111545988
