Year,TEMP_Means
1970,118.70289628180038
1971,118.9605479452055
1972,120.66948467058057
1973,112.1439138943248
1974,116.57389432485326
1975,121.22112198303971
1976,120.33707762557086
1977,117.80639269406397
1978,121.10007827788651
1979,119.60228310502283
1980,118.59429876060013
1981,116.70327462491841
1982,118.43364644487933
1983,115.79196347031964
1984,114.95707762557082
1985,118.1374037834312
1986,117.10491846053489
1987,114.74919765166344
1988,120.29302022178736
1989,120.48163078930205
1990,117.59513372472279
1991,118.76210045662108
1992,113.86759295499024
1993,118.60765818656229
1994,117.83800391389433
1995,118.17953033268103
1996,120.42086105675145
1997,119.30896281800385
1998,112.25690802348333
1999,115.92730593607301
2000,118.89671232876708
2001,117.09624266144814
2002,118.34757990867581
2003,117.93532941943901
2004,116.12122635355514
2005,117.55827788649705
2006,115.67710371819959
2007,120.19399869536853
2008,119.97833007175471
2009,116.80058708414873
2010,117.20909328114804
