Year,TEMP_Means
1970,116.05848365658481
1971,115.50299742302997
1972,115.8322121253221
1973,110.56917130069168
1974,112.63926488539268
1975,115.57919435779195
1976,115.82803472128033
1977,116.08258510782585
1978,117.66378678963788
1979,115.6388444323885
1980,114.11965278719646
1981,112.2434829784348
1982,115.50297029702975
1983,113.86362403363626
1984,112.34489353044897
1985,115.5698358876984
1986,113.35418418554187
1987,109.66021972060219
1988,113.98105248881052
1989,115.48493150684938
1990,110.9668655906687
1991,112.98329038383285
1992,108.64327953343283
1993,115.39986436999862
1994,113.93775939237756
1995,113.76949681269502
1996,115.81356300013563
1997,114.47745829377459
1998,110.32279940322802
1999,110.83902075139021
2000,116.72667842126677
2001,113.01866268818667
2002,115.61487861114871
2003,113.90187169401871
2004,111.17481350874817
2005,111.35120032551202
2006,112.25044079750442
2007,115.85334327953342
2008,114.93773226637725
2009,113.4337718703377
2010,115.02728875627294
