Year,TEMP_Means
1970,124.60703196347036
1971,123.99119634703197
1972,124.54082191780823
1973,120.76443835616443
1974,125.792
1975,124.7260091324201
1976,125.9784840182649
1977,121.1555433789954
1978,124.48832876712326
1979,125.15859360730593
1980,124.2097351598174
1981,121.77621917808223
1982,124.09620091324201
1983,121.76860273972602
1984,122.03746118721462
1985,123.32659360730594
1986,121.85400913242013
1987,121.02489497716886
1988,125.139196347032
1989,126.1590136986301
1990,125.41229223744288
1991,122.7178812785388
1992,121.11234703196348
1993,122.98978995433791
1994,121.84140639269404
1995,121.11877625570779
1996,124.97609132420092
1997,124.83329680365291
1998,115.24602739726028
1999,117.2956712328767
2000,120.66710502283102
2001,120.23086757990866
2002,123.70231963470323
2003,119.22602739726031
2004,119.2625388127854
2005,119.95632876712327
2006,120.1426118721461
2007,122.30398173515981
2008,123.68880365296805
2009,119.63472146118721
2010,117.58929680365299
