Year,TEMP_Means
1970,126.31026310067405
1971,124.03483365949116
1972,127.2782561426397
1973,124.2551424222657
1974,125.26392694063925
1975,124.72791911285061
1976,125.15396825396826
1977,122.98580126114369
1978,124.475255490324
1979,127.39602087410306
1980,125.64790171776471
1981,123.7147423352903
1982,125.53987823439877
1983,124.93209393346382
1984,124.85644705370734
1985,125.2929332463579
1986,123.14796694933682
1987,124.0374646662318
1988,127.85649054142203
1989,127.68936725375083
1990,129.10654490106543
1991,125.4430963252881
1992,125.50030441400307
1993,126.19928245270711
1994,124.80056534029139
1995,124.61265492498372
1996,129.95636007827787
1997,125.41182865840405
1998,120.5261578604045
1999,122.9477060230485
2000,123.56240487062402
2001,123.23953033268101
2002,126.87684279191126
2003,122.99008480104375
2004,123.69797782126551
2005,120.79212872363556
2006,125.0608175690367
2007,121.77284192215697
2008,125.68458360513155
2009,123.84768427919113
2010,120.23709502065668
