Year,TEMP_Means
1970,104.95634908419272
1971,105.25828844081884
1972,106.31599199630601
1973,104.11656148991842
1974,105.1355394797599
1975,104.25428659381251
1976,105.03244574418963
1977,104.37685085424043
1978,108.2626289056488
1979,105.92624288132987
1980,104.82410343235338
1981,103.61286747729723
1982,105.25648760966605
1983,105.69996921656148
1984,102.87652762813606
1985,107.63881791596124
1986,102.93978759427429
1987,102.27055564106513
1988,106.45473295367088
1989,106.79053409265819
1990,103.45554871479146
1991,104.89633677081731
1992,100.55220871171309
1993,105.46030475604121
1994,105.00212405725722
1995,105.85154686778513
1996,106.10640295521009
1997,103.28690164691398
1998,104.1980760350931
1999,102.03019855317837
2000,104.53895644143451
2001,102.84166538402341
2002,103.5928120671079
2003,105.03615514853007
2004,103.89889179621363
2005,104.30617207942124
2006,102.44343543173777
2007,105.35293212251813
2008,102.5302601200554
2009,103.26627674311221
2010,103.45385562567337
