Year,TEMP_Means
1970,123.29605971987075
1971,120.51102047098657
1972,119.16455287055565
1973,116.03150684931506
1974,117.5887486532245
1975,122.20869632137912
1976,121.08705556410655
1977,119.6660920424812
1978,121.693843312298
1979,120.76421425273203
1980,118.54154225026939
1981,117.17357241803917
1982,120.8997999076497
1983,118.10903493920267
1984,118.8517469601354
1985,121.06219793750964
1986,117.65895028474681
1987,117.1292134831461
1988,119.94305063875638
1989,121.07948283823299
1990,118.39656764660616
1991,118.22150223179932
1992,114.71557641988613
1993,119.96644605202405
1994,119.74452824380487
1995,117.65876558411574
1996,120.35924272741266
1997,119.80529475142374
1998,113.91072802832073
1999,116.4120824996152
2000,120.41891642296444
2001,117.31396028936433
2002,119.78680929659846
2003,117.72727412651993
2004,115.83829459750649
2005,116.33013698630138
2006,118.6334154225027
2007,118.8517931352932
2008,118.80080036940126
2009,118.87808219178086
2010,117.48474680621827
