Year,TEMP_Means
1970,109.83237091675453
1971,108.34202318229714
1972,110.3332560590095
1973,106.55053740779769
1974,108.72598524762911
1975,108.98792413066383
1976,109.40973656480509
1977,110.6999367755532
1978,113.37334035827185
1979,109.96499473129612
1980,106.46273972602741
1981,105.34914646996837
1982,106.8981664910432
1983,108.23711275026336
1984,105.53696522655426
1985,110.45618545837726
1986,107.17991570073762
1987,104.87610115911485
1988,110.28859852476295
1989,111.317344573235
1990,105.81789251844043
1991,108.32533192834563
1992,104.29903055848261
1993,108.68864067439408
1994,108.63546891464695
1995,107.36762908324553
1996,108.48299262381452
1997,106.18429926238146
1998,105.0085985247629
1999,104.26491043203372
2000,110.00914646996839
2001,106.44476290832458
2002,108.43589041095892
2003,110.45036880927297
2004,107.0344151738672
2005,105.87097997892515
2006,107.51949420442573
2007,110.14240252897788
2008,109.01270811380398
2009,109.95262381454165
2010,107.82821917808221
