Year,TEMP_Means
1970,124.2116353796719
1971,122.93055978352776
1972,123.0458650431253
1973,117.72457297480128
1974,120.05903940470152
1975,122.5899036022323
1976,122.03409436834096
1977,120.33685100625746
1978,120.91007948587848
1979,124.0502959580585
1980,122.0490613901573
1981,118.31479790292576
1982,122.46911889058012
1983,121.06333502452222
1984,121.53377304244887
1985,122.4253847454761
1986,119.25815998647043
1987,120.88029764924745
1988,122.15552173177738
1989,122.33118552342297
1990,122.27842042956198
1991,121.62357517334684
1992,120.38611533908339
1993,122.02298325722985
1994,121.09788601386776
1995,120.52124133265684
1996,124.42947742262817
1997,123.24814814814818
1998,116.57990867579908
1999,117.45352612886857
2000,122.34329443598851
2001,121.30884491797731
2002,122.19582276340265
2003,119.72775240994422
2004,119.10224928124468
2005,119.79056316590561
2006,121.79548452562152
2007,120.62920683240318
2008,122.77104684593272
2009,121.62611195670554
2010,118.5901403686792
