Year,TEMP_Means
1970,105.37726156629613
1971,104.67722925820632
1972,106.3025394158697
1973,103.98531920392873
1974,105.19754458516414
1975,105.20033600413544
1976,105.95656500387692
1977,105.67493538382008
1978,107.26504910829665
1979,106.45471698113212
1980,104.11397647971054
1981,103.08097053502198
1982,105.12316490049106
1983,105.22408245024552
1984,103.57740372189195
1985,106.48526104936677
1986,102.72951020935645
1987,102.00530498836906
1988,105.08680537606621
1989,105.90783148100283
1990,103.82240889118631
1991,103.98272163349704
1992,102.02473507366243
1993,103.0284117342982
1994,103.70617730679761
1995,102.95301757560088
1996,105.68587490307571
1997,103.7265443266994
1998,101.71206384078572
1999,102.59266606358224
2000,103.10567976221243
2001,102.23671491341426
2002,102.88790385112426
2003,102.32432799172905
2004,103.04126389247864
2005,101.29416515895578
2006,102.23218531920391
2007,103.06000258464715
2008,103.26870638407856
2009,103.7197079348669
2010,103.67412121995346
